member,subtype,run,dsi
0,T4a,FlyVis,0.4921159905400645
0,T4b,FlyVis,0.5161607743518132
0,T4c,FlyVis,0.5871923652419818
0,T4d,FlyVis,0.1289074019505389
0,T5a,FlyVis,0.7853745914905943
0,T5b,FlyVis,0.7468054854235939
0,T5c,FlyVis,0.5631392915444002
0,T5d,FlyVis,0.556476623114532
0,T4a,v5,0.0160230447485997
0,T4b,v5,0.0363134190883446
0,T4c,v5,0.0629278325828184
0,T4d,v5,0.0106117935067751
0,T5a,v5,0.0272324807337625
0,T5b,v5,0.0511133947579922
0,T5c,v5,0.0307816596964819
0,T5d,v5,0.0355044053306876
0,T4a,v7_total_cap3,0.0673147663303405
0,T4b,v7_total_cap3,0.0933951039416916
0,T4c,v7_total_cap3,0.1774352715002236
0,T4d,v7_total_cap3,0.0128102431630913
0,T5a,v7_total_cap3,0.028726650506623
0,T5b,v7_total_cap3,0.1586357492848144
0,T5c,v7_total_cap3,0.1101171162219671
0,T5d,v7_total_cap3,0.1594741027749797
0,T4a,v8_wk50,0.0541209305573349
0,T4b,v8_wk50,0.0823013589058522
0,T4c,v8_wk50,0.1655974731171262
0,T4d,v8_wk50,0.0
0,T5a,v8_wk50,0.0778009975470276
0,T5b,v8_wk50,0.2322638303140067
0,T5c,v8_wk50,0.612756601680916
0,T5d,v8_wk50,0.1983867926486825
0,T4a,v9_wk50m500oc,0.0501013118780766
0,T4b,v9_wk50m500oc,0.0739455914498638
0,T4c,v9_wk50m500oc,0.1450285164769236
0,T4d,v9_wk50m500oc,0.0
0,T5a,v9_wk50m500oc,0.0698791862674434
0,T5b,v9_wk50m500oc,0.2903534826116096
0,T5c,v9_wk50m500oc,0.7276487797384212
0,T5d,v9_wk50m500oc,0.2410697178730597
1,T4a,FlyVis,0.7481572585457258
1,T4b,FlyVis,0.5445350093410801
1,T4c,FlyVis,0.5959873865289644
1,T4d,FlyVis,0.5570941605309403
1,T5a,FlyVis,0.1461272172273603
1,T5b,FlyVis,0.1083000545798313
1,T5c,FlyVis,0.0427835062636719
1,T5d,FlyVis,0.0079338730369366
1,T4a,v5,0.0225265422545821
1,T4b,v5,0.0911432381808763
1,T4c,v5,0.0369313973817144
1,T4d,v5,0.0359692291842325
1,T5a,v5,4.524315467465536e-05
1,T5b,v5,0.0075461741965543
1,T5c,v5,0.0069775105758386
1,T5d,v5,0.0044174532803881
1,T4a,v7_total_cap3,0.337017991302085
1,T4b,v7_total_cap3,0.2945113442265771
1,T4c,v7_total_cap3,0.2743723354200144
1,T4d,v7_total_cap3,0.2042964807326419
1,T5a,v7_total_cap3,0.0173306641024047
1,T5b,v7_total_cap3,0.0222960174456045
1,T5c,v7_total_cap3,0.0369457780931078
1,T5d,v7_total_cap3,0.0150069868412384
1,T4a,v8_wk50,0.4485853605709753
1,T4b,v8_wk50,0.4306543193846933
1,T4c,v8_wk50,0.2830533679825913
1,T4d,v8_wk50,0.2572076039528561
1,T5a,v8_wk50,0.0211141862997192
1,T5b,v8_wk50,0.0164096108647039
1,T5c,v8_wk50,0.0128865852402689
1,T5d,v8_wk50,0.006899531457842
1,T4a,v9_wk50m500oc,0.4647549800856055
1,T4b,v9_wk50m500oc,0.4457463324674133
1,T4c,v9_wk50m500oc,0.2955689040856074
1,T4d,v9_wk50m500oc,0.2666291278807303
1,T5a,v9_wk50m500oc,0.0201891446971303
1,T5b,v9_wk50m500oc,0.0160667643060903
1,T5c,v9_wk50m500oc,0.0140737122026684
1,T5d,v9_wk50m500oc,0.006060640957601
2,T4a,FlyVis,0.6446740430103727
2,T4b,FlyVis,0.0685953391312812
2,T4c,FlyVis,0.6625557475170236
2,T4d,FlyVis,0.6607120283850998
2,T5a,FlyVis,0.0167414030547917
2,T5b,FlyVis,0.1421122402456484
2,T5c,FlyVis,0.0208552958521155
2,T5d,FlyVis,0.0280159312044473
2,T4a,v5,0.0
2,T4b,v5,0.0
2,T4c,v5,0.0
2,T4d,v5,0.0
2,T5a,v5,0.0002559534838982
2,T5b,v5,0.0001497499022273
2,T5c,v5,0.0007734979830365
2,T5d,v5,0.0005031383628721
2,T4a,v7_total_cap3,0.2021497560707026
2,T4b,v7_total_cap3,0.0457426064952504
2,T4c,v7_total_cap3,0.1551613012041755
2,T4d,v7_total_cap3,0.1749653685827861
2,T5a,v7_total_cap3,0.0051780324966873
2,T5b,v7_total_cap3,0.0080825116136126
2,T5c,v7_total_cap3,0.0020775316851468
2,T5d,v7_total_cap3,0.0036212944621218
2,T4a,v8_wk50,0.1764484019808764
2,T4b,v8_wk50,0.06179367421294
2,T4c,v8_wk50,0.1121556459405515
2,T4d,v8_wk50,0.12251497352429
2,T5a,v8_wk50,0.0202142774944994
2,T5b,v8_wk50,0.0159906333133249
2,T5c,v8_wk50,0.0060883124895987
2,T5d,v8_wk50,0.0053969826559428
2,T4a,v9_wk50m500oc,0.1845124451336133
2,T4b,v9_wk50m500oc,0.0586690706020403
2,T4c,v9_wk50m500oc,0.114849554225665
2,T4d,v9_wk50m500oc,0.1220966503640809
2,T5a,v9_wk50m500oc,0.015033932942446
2,T5b,v9_wk50m500oc,0.011524756311407
2,T5c,v9_wk50m500oc,0.0057904351198689
2,T5d,v9_wk50m500oc,0.0074433511788845
